expID,ligand,base,solvent,cone angle,TEP,calc P shift,pKa,Pauling ionic radii,Hansen-dD,Hansen-dP,Hansen-dH,objectives
237,12,6,2,185.3,2206.2,66.1445,12.375,133,17.4,13.7,11.3,-4.817466073
238,13,6,2,171.3953578,2213.980043,-29.2681,12.375,133,17.4,13.7,11.3,-3.380413343
239,14,6,2,120.02,2219.32,-63.3,12.375,133,17.4,13.7,11.3,-2.327331852
240,15,6,2,165.353392,2215.967354,-19.1672,12.375,133,17.4,13.7,11.3,-3.594527335
241,1,7,2,165.87,2223.37,-5.7906,4.756,133,17.4,13.7,11.3,-1.535929938
242,2,7,2,166.8903697,2218.319819,-10.6026,4.756,133,17.4,13.7,11.3,-2.587857736
243,3,7,2,172.5642436,2217.825997,-8.6556,4.756,133,17.4,13.7,11.3,-2.837644671
244,4,7,2,211.3485433,2210.78491,-35.7969,4.756,133,17.4,13.7,11.3,-4.255653867
245,5,7,2,174.6629756,2218.794147,-5.7884,4.756,133,17.4,13.7,11.3,-2.51480221
246,6,7,2,166.26,2224.63,-9.8472,4.756,133,17.4,13.7,11.3,-2.000671363
247,7,7,2,165.4550225,2228.284751,-7.6658,4.756,133,17.4,13.7,11.3,-1.848728701
248,8,7,2,184.5942422,2234.942905,-10.0173,4.756,133,17.4,13.7,11.3,-2.658965685
249,9,7,2,172.55,2232.06,-76.7384,4.756,133,17.4,13.7,11.3,-1.955824171
250,10,7,2,165.5,2225.59,-10.3996,4.756,133,17.4,13.7,11.3,-2.034146525
251,11,7,2,174.3600174,2210.257593,8.0093,4.756,133,17.4,13.7,11.3,-2.510483771
252,12,7,2,185.3,2206.2,66.1445,4.756,133,17.4,13.7,11.3,-4.241319374
253,13,7,2,171.3953578,2213.980043,-29.2681,4.756,133,17.4,13.7,11.3,-3.436498003
254,14,7,2,120.02,2219.32,-63.3,4.756,133,17.4,13.7,11.3,-2.795202789
255,15,7,2,165.353392,2215.967354,-19.1672,4.756,133,17.4,13.7,11.3,-3.614825762
256,1,8,2,165.87,2223.37,-5.7906,10.329,169,17.4,13.7,11.3,-2.028049291
257,2,8,2,166.8903697,2218.319819,-10.6026,10.329,169,17.4,13.7,11.3,-1.967814325
258,3,8,2,172.5642436,2217.825997,-8.6556,10.329,169,17.4,13.7,11.3,-2.020973782
259,4,8,2,211.3485433,2210.78491,-35.7969,10.329,169,17.4,13.7,11.3,-2.739694418
260,5,8,2,174.6629756,2218.794147,-5.7884,10.329,169,17.4,13.7,11.3,-2.051619097
261,6,8,2,166.26,2224.63,-9.8472,10.329,169,17.4,13.7,11.3,-2.183293065
262,7,8,2,165.4550225,2228.284751,-7.6658,10.329,169,17.4,13.7,11.3,-2.702369679
263,8,8,2,184.5942422,2234.942905,-10.0173,10.329,169,17.4,13.7,11.3,-3.213301225
264,9,8,2,172.55,2232.06,-76.7384,10.329,169,17.4,13.7,11.3,-2.26407893
265,10,8,2,165.5,2225.59,-10.3996,10.329,169,17.4,13.7,11.3,-2.424378151
266,11,8,2,174.3600174,2210.257593,8.0093,10.329,169,17.4,13.7,11.3,-3.823515984
267,12,8,2,185.3,2206.2,66.1445,10.329,169,17.4,13.7,11.3,-3.167590906
268,13,8,2,171.3953578,2213.980043,-29.2681,10.329,169,17.4,13.7,11.3,-2.824165562
269,14,8,2,120.02,2219.32,-63.3,10.329,169,17.4,13.7,11.3,-1.998070579
270,15,8,2,165.353392,2215.967354,-19.1672,10.329,169,17.4,13.7,11.3,-2.457734403
271,1,9,2,165.87,2223.37,-5.7906,3.17,169,17.4,13.7,11.3,-2.00135444
272,2,9,2,166.8903697,2218.319819,-10.6026,3.17,169,17.4,13.7,11.3,-2.044832056
273,3,9,2,172.5642436,2217.825997,-8.6556,3.17,169,17.4,13.7,11.3,-2.278642078
274,4,9,2,211.3485433,2210.78491,-35.7969,3.17,169,17.4,13.7,11.3,-2.741039247
275,5,9,2,174.6629756,2218.794147,-5.7884,3.17,169,17.4,13.7,11.3,-2.359438364
276,6,9,2,166.26,2224.63,-9.8472,3.17,169,17.4,13.7,11.3,-2.176960712
277,7,9,2,165.4550225,2228.284751,-7.6658,3.17,169,17.4,13.7,11.3,-2.687783461
278,8,9,2,184.5942422,2234.942905,-10.0173,3.17,169,17.4,13.7,11.3,-3.161313431
