expID,ligand,base,solvent,notation
365,5,5,3,Ar-Me2_KOH_MeCN
366,6,5,3,Ar-F_KOH_MeCN
367,7,5,3,Ar-CF3_KOH_MeCN
368,8,5,3,Ar-CF32_KOH_MeCN
369,9,5,3,Ar-F5_KOH_MeCN
370,10,5,3,Ar-Cl_KOH_MeCN
371,11,5,3,Ak-Cy_KOH_MeCN
372,12,5,3,Ak-tBu_KOH_MeCN
373,13,5,3,Ak-nBu_KOH_MeCN
374,14,5,3,Ak-Me_KOH_MeCN
375,15,5,3,Ak-Et_KOH_MeCN
376,1,6,3,Ar-H_K3PO4_MeCN
377,2,6,3,Ar-OMe_K3PO4_MeCN
378,3,6,3,Ar-Me2OMe_K3PO4_MeCN
379,4,6,3,Ar-Me3_K3PO4_MeCN
380,5,6,3,Ar-Me2_K3PO4_MeCN
381,6,6,3,Ar-F_K3PO4_MeCN
382,7,6,3,Ar-CF3_K3PO4_MeCN
383,8,6,3,Ar-CF32_K3PO4_MeCN
384,9,6,3,Ar-F5_K3PO4_MeCN
385,10,6,3,Ar-Cl_K3PO4_MeCN
386,11,6,3,Ak-Cy_K3PO4_MeCN
387,12,6,3,Ak-tBu_K3PO4_MeCN
388,13,6,3,Ak-nBu_K3PO4_MeCN
389,14,6,3,Ak-Me_K3PO4_MeCN
390,15,6,3,Ak-Et_K3PO4_MeCN
391,1,7,3,Ar-H_KOAc_MeCN
392,2,7,3,Ar-OMe_KOAc_MeCN
393,3,7,3,Ar-Me2OMe_KOAc_MeCN
394,4,7,3,Ar-Me3_KOAc_MeCN
395,5,7,3,Ar-Me2_KOAc_MeCN
396,6,7,3,Ar-F_KOAc_MeCN
397,7,7,3,Ar-CF3_KOAc_MeCN
398,8,7,3,Ar-CF32_KOAc_MeCN
399,9,7,3,Ar-F5_KOAc_MeCN
400,10,7,3,Ar-Cl_KOAc_MeCN
401,11,7,3,Ak-Cy_KOAc_MeCN
402,12,7,3,Ak-tBu_KOAc_MeCN
403,13,7,3,Ak-nBu_KOAc_MeCN
404,14,7,3,Ak-Me_KOAc_MeCN
405,15,7,3,Ak-Et_KOAc_MeCN
406,1,8,3,Ar-H_Cs2CO3_MeCN
407,2,8,3,Ar-OMe_Cs2CO3_MeCN
408,3,8,3,Ar-Me2OMe_Cs2CO3_MeCN
409,4,8,3,Ar-Me3_Cs2CO3_MeCN
410,5,8,3,Ar-Me2_Cs2CO3_MeCN
411,6,8,3,Ar-F_Cs2CO3_MeCN
412,7,8,3,Ar-CF3_Cs2CO3_MeCN
413,8,8,3,Ar-CF32_Cs2CO3_MeCN
414,9,8,3,Ar-F5_Cs2CO3_MeCN
415,10,8,3,Ar-Cl_Cs2CO3_MeCN
416,11,8,3,Ak-Cy_Cs2CO3_MeCN
417,12,8,3,Ak-tBu_Cs2CO3_MeCN
418,13,8,3,Ak-nBu_Cs2CO3_MeCN
419,14,8,3,Ak-Me_Cs2CO3_MeCN
420,15,8,3,Ak-Et_Cs2CO3_MeCN
421,1,9,3,Ar-H_CsF_MeCN
422,2,9,3,Ar-OMe_CsF_MeCN
423,3,9,3,Ar-Me2OMe_CsF_MeCN
424,4,9,3,Ar-Me3_CsF_MeCN
425,5,9,3,Ar-Me2_CsF_MeCN
426,6,9,3,Ar-F_CsF_MeCN
427,7,9,3,Ar-CF3_CsF_MeCN
428,8,9,3,Ar-CF32_CsF_MeCN
429,9,9,3,Ar-F5_CsF_MeCN
430,10,9,3,Ar-Cl_CsF_MeCN
