expID,ligand,base,solvent,cone angle,TEP,calc P shift,pKa,Pauling ionic radii,Hansen-dD,Hansen-dP,Hansen-dH,objectives
125,5,9,1,174.6629756,2218.794147,-5.7884,3.17,169,18.4,16.4,10.2,
126,6,9,1,166.26,2224.63,-9.8472,3.17,169,18.4,16.4,10.2,
127,7,9,1,165.4550225,2228.284751,-7.6658,3.17,169,18.4,16.4,10.2,
128,8,9,1,184.5942422,2234.942905,-10.0173,3.17,169,18.4,16.4,10.2,
129,9,9,1,172.55,2232.06,-76.7384,3.17,169,18.4,16.4,10.2,
130,10,9,1,165.5,2225.59,-10.3996,3.17,169,18.4,16.4,10.2,
131,11,9,1,174.3600174,2210.257593,8.0093,3.17,169,18.4,16.4,10.2,
132,12,9,1,185.3,2206.2,66.1445,3.17,169,18.4,16.4,10.2,
133,13,9,1,171.3953578,2213.980043,-29.2681,3.17,169,18.4,16.4,10.2,
134,14,9,1,120.02,2219.32,-63.3,3.17,169,18.4,16.4,10.2,
135,15,9,1,165.353392,2215.967354,-19.1672,3.17,169,18.4,16.4,10.2,
136,1,10,1,165.87,2223.37,-5.7906,13.997,322,18.4,16.4,10.2,
137,2,10,1,166.8903697,2218.319819,-10.6026,13.997,322,18.4,16.4,10.2,
138,3,10,1,172.5642436,2217.825997,-8.6556,13.997,322,18.4,16.4,10.2,
139,4,10,1,211.3485433,2210.78491,-35.7969,13.997,322,18.4,16.4,10.2,-3.8986606638534234
140,5,10,1,174.6629756,2218.794147,-5.7884,13.997,322,18.4,16.4,10.2,
141,6,10,1,166.26,2224.63,-9.8472,13.997,322,18.4,16.4,10.2,
142,7,10,1,165.4550225,2228.284751,-7.6658,13.997,322,18.4,16.4,10.2,
143,8,10,1,184.5942422,2234.942905,-10.0173,13.997,322,18.4,16.4,10.2,
144,9,10,1,172.55,2232.06,-76.7384,13.997,322,18.4,16.4,10.2,
145,10,10,1,165.5,2225.59,-10.3996,13.997,322,18.4,16.4,10.2,
146,11,10,1,174.3600174,2210.257593,8.0093,13.997,322,18.4,16.4,10.2,
147,12,10,1,185.3,2206.2,66.1445,13.997,322,18.4,16.4,10.2,-2.492790507602249
148,13,10,1,171.3953578,2213.980043,-29.2681,13.997,322,18.4,16.4,10.2,
