expID,cone angle,TEP,calc P shift,pKa,Pauling ionic radii,Hansen-dD,Hansen-dP,Hansen-dH
127,165.4425321,2228.123853,-7.3657,3.17,169,18.4,16.4,10.2
128,184.5942422,2234.942905,-7.6081,3.17,169,18.4,16.4,10.2
129,172.55,2232.06,-76.6378,3.17,169,18.4,16.4,10.2
130,165.5,2225.59,-9.3867,3.17,169,18.4,16.4,10.2
131,174.3600174,2210.257593,8.4693,3.17,169,18.4,16.4,10.2
132,185.3,2206.2,65.5283,3.17,169,18.4,16.4,10.2
133,171.3953578,2213.980043,-31.8604,3.17,169,18.4,16.4,10.2
134,120.02,2219.32,-63.3,3.17,169,18.4,16.4,10.2
135,165.353392,2215.967354,-18.0838,3.17,169,18.4,16.4,10.2
136,165.87,2223.37,-5.9813,13.997,322,18.4,16.4,10.2
137,166.8903697,2218.319819,-11.5167,13.997,322,18.4,16.4,10.2
138,172.5234877,2217.505928,-9.583,13.997,322,18.4,16.4,10.2
139,195.29,2213.36,-34.9056,13.997,322,18.4,16.4,10.2
140,174.6629756,2218.794147,-5.9295,13.997,322,18.4,16.4,10.2
141,166.26,2224.63,-9.891,13.997,322,18.4,16.4,10.2
142,165.4425321,2228.123853,-7.3657,13.997,322,18.4,16.4,10.2
143,184.5942422,2234.942905,-7.6081,13.997,322,18.4,16.4,10.2
144,172.55,2232.06,-76.6378,13.997,322,18.4,16.4,10.2
145,165.5,2225.59,-9.3867,13.997,322,18.4,16.4,10.2
146,174.3600174,2210.257593,8.4693,13.997,322,18.4,16.4,10.2
147,185.3,2206.2,65.5283,13.997,322,18.4,16.4,10.2
148,171.3953578,2213.980043,-31.8604,13.997,322,18.4,16.4,10.2
149,120.02,2219.32,-63.3,13.997,322,18.4,16.4,10.2
150,165.353392,2215.967354,-18.0838,13.997,322,18.4,16.4,10.2
151,165.87,2223.37,-5.9813,10.329,95,17.4,13.7,11.3
152,166.8903697,2218.319819,-11.5167,10.329,95,17.4,13.7,11.3
153,172.5234877,2217.505928,-9.583,10.329,95,17.4,13.7,11.3
154,195.29,2213.36,-34.9056,10.329,95,17.4,13.7,11.3
155,174.6629756,2218.794147,-5.9295,10.329,95,17.4,13.7,11.3
156,166.26,2224.63,-9.891,10.329,95,17.4,13.7,11.3
157,165.4425321,2228.123853,-7.3657,10.329,95,17.4,13.7,11.3
158,184.5942422,2234.942905,-7.6081,10.329,95,17.4,13.7,11.3
159,172.55,2232.06,-76.6378,10.329,95,17.4,13.7,11.3
160,165.5,2225.59,-9.3867,10.329,95,17.4,13.7,11.3
161,174.3600174,2210.257593,8.4693,10.329,95,17.4,13.7,11.3
162,185.3,2206.2,65.5283,10.329,95,17.4,13.7,11.3
163,171.3953578,2213.980043,-31.8604,10.329,95,17.4,13.7,11.3
164,120.02,2219.32,-63.3,10.329,95,17.4,13.7,11.3
165,165.353392,2215.967354,-18.0838,10.329,95,17.4,13.7,11.3
166,165.87,2223.37,-5.9813,6.351,95,17.4,13.7,11.3
167,166.8903697,2218.319819,-11.5167,6.351,95,17.4,13.7,11.3
168,172.5234877,2217.505928,-9.583,6.351,95,17.4,13.7,11.3
169,195.29,2213.36,-34.9056,6.351,95,17.4,13.7,11.3
170,174.6629756,2218.794147,-5.9295,6.351,95,17.4,13.7,11.3
171,166.26,2224.63,-9.891,6.351,95,17.4,13.7,11.3
172,165.4425321,2228.123853,-7.3657,6.351,95,17.4,13.7,11.3
173,184.5942422,2234.942905,-7.6081,6.351,95,17.4,13.7,11.3
174,172.55,2232.06,-76.6378,6.351,95,17.4,13.7,11.3
175,165.5,2225.59,-9.3867,6.351,95,17.4,13.7,11.3
176,174.3600174,2210.257593,8.4693,6.351,95,17.4,13.7,11.3
177,185.3,2206.2,65.5283,6.351,95,17.4,13.7,11.3
178,171.3953578,2213.980043,-31.8604,6.351,95,17.4,13.7,11.3
179,120.02,2219.32,-63.3,6.351,95,17.4,13.7,11.3
180,165.353392,2215.967354,-18.0838,6.351,95,17.4,13.7,11.3
181,165.87,2223.37,-5.9813,13.997,95,17.4,13.7,11.3
182,166.8903697,2218.319819,-11.5167,13.997,95,17.4,13.7,11.3
183,172.5234877,2217.505928,-9.583,13.997,95,17.4,13.7,11.3
184,195.29,2213.36,-34.9056,13.997,95,17.4,13.7,11.3
185,174.6629756,2218.794147,-5.9295,13.997,95,17.4,13.7,11.3
186,166.26,2224.63,-9.891,13.997,95,17.4,13.7,11.3
187,165.4425321,2228.123853,-7.3657,13.997,95,17.4,13.7,11.3
188,184.5942422,2234.942905,-7.6081,13.997,95,17.4,13.7,11.3
189,172.55,2232.06,-76.6378,13.997,95,17.4,13.7,11.3
190,165.5,2225.59,-9.3867,13.997,95,17.4,13.7,11.3
191,174.3600174,2210.257593,8.4693,13.997,95,17.4,13.7,11.3
192,185.3,2206.2,65.5283,13.997,95,17.4,13.7,11.3
193,171.3953578,2213.980043,-31.8604,13.997,95,17.4,13.7,11.3
194,120.02,2219.32,-63.3,13.997,95,17.4,13.7,11.3
195,165.353392,2215.967354,-18.0838,13.997,95,17.4,13.7,11.3
196,165.87,2223.37,-5.9813,10.329,133,17.4,13.7,11.3
197,166.8903697,2218.319819,-11.5167,10.329,133,17.4,13.7,11.3
198,172.5234877,2217.505928,-9.583,10.329,133,17.4,13.7,11.3
